id,folders
frame_1000_jpg.rf.4916c8c0af7d4979c44157d520e70754.jpg,train_v1
frame_1001_jpg.rf.1b94b6b63ada6bebdeb5a71d4ab472de.jpg,train_v1
frame_1002_jpg.rf.25421884ef9debbbc10a06fd8c2b032e.jpg,train_v1
frame_1003_jpg.rf.5ac72a91a3a0a1773b024d0d7bc195ae.jpg,train_v1
frame_1004_jpg.rf.745d68e993cb6bd1fcca814c869aafa8.jpg,train_v1
frame_1005_jpg.rf.7f8426fd85417b3b9d04c5696fb8e0fa.jpg,train_v1
frame_1006_jpg.rf.23acd8283a8d67ee48360cdb4830e7aa.jpg,train_v1
frame_1007_jpg.rf.8df6730fac0df2d18fd7a4628b6a5a7b.jpg,train_v1
frame_1008_jpg.rf.6e5b61b657f88db16cd7581263802311.jpg,train_v1
frame_1009_jpg.rf.fb201f3bb56c97ffd6b51624e3ea9b89.jpg,train_v1
frame_1010_jpg.rf.ff8ac38945c7f6d79d19c19ebf935e7b.jpg,train_v1
frame_1011_jpg.rf.f9374130313f3b980c59adfedfe1fc6e.jpg,train_v1
frame_1012_jpg.rf.f05a1117f9a410def5ea6e0b80a6b9d1.jpg,train_v1
frame_1013_jpg.rf.3d59d282b5336d6a4fef7345f7497dc0.jpg,train_v1
frame_1014_jpg.rf.e0dc241ede1f2153455ce70e02f22ca1.jpg,train_v1
frame_1015_jpg.rf.c6fbd4c159d70abf488808e93deacb24.jpg,train_v1
frame_1016_jpg.rf.d57869d5650081d5b351dfad5859fe73.jpg,train_v1
frame_1017_jpg.rf.ecd95f0a6d178bd537cdd109c7ae27d5.jpg,train_v1
frame_1018_jpg.rf.1338b56c5b0d35d0b8a22e5339a38326.jpg,train_v1
frame_1019_jpg.rf.c6ca1ec63e2c916e6ebc993b4dc788d2.jpg,train_v1
frame_1020_jpg.rf.ce9aa09b1064a8f297a45d27b6a5b001.jpg,train_v1
frame_1021_jpg.rf.90f743491cad8c34ead17584ddc6bc28.jpg,train_v1
frame_1022_jpg.rf.a3217accddd2bde5a001886dda22219a.jpg,train_v1
frame_1023_jpg.rf.67d7a2898ae3260abb4558fe1219bd2a.jpg,train_v1
frame_1024_jpg.rf.966e5dfd934672d3a4148b7116a0d4b6.jpg,train_v1
frame_1025_jpg.rf.962e9928a0889ec85b98fddcd18d9ac6.jpg,train_v1
frame_1026_jpg.rf.41f41281baa1d632646acddb61d5a26b.jpg,train_v1
frame_1027_jpg.rf.7f43213eca4e5e7a548010efcf5ad7fc.jpg,train_v1
frame_1028_jpg.rf.19d8a660b7580c592acd185338777853.jpg,train_v1
